room_type,minimum_nights,number_of_reviews,reviews_per_month,availability_365,price
1.0,3.0,27.0,1.21,0.0,199
1.0,1.0,2.0,0.04,0.0,100
1.0,2.0,55.0,2.5,297.0,113
0.0,2.0,26.0,3.66,21.0,75
1.0,6.0,2.0,0.09,0.0,151
1.0,1.0,5.0,3.95,355.0,75
0.0,4.0,1.0,0.24,81.0,40
0.0,2.0,24.0,1.07,0.0,65
1.0,7.0,18.0,0.21,18.0,250
1.0,2.0,9.0,1.36,186.0,66
1.0,2.0,2.0,0.09,0.0,250
1.0,1.0,12.0,2.98,82.0,180
0.0,2.0,6.0,0.53,224.0,39
1.0,2.0,1.0,0.03,0.0,175
0.0,2.0,3.0,0.19,239.0,130
0.0,6.0,5.0,0.21,0.0,150
1.0,2.0,1.0,0.03,0.0,130
1.0,3.0,6.0,0.65,0.0,255
1.0,1.0,4.0,0.09,0.0,125
1.0,3.0,12.0,0.3,0.0,177
0.0,2.0,34.0,1.47,0.0,59
0.0,1.0,210.0,5.34,321.0,85
1.0,2.0,14.0,4.24,212.0,260
0.0,5.0,9.0,0.16,0.0,35
0.0,1.0,205.0,6.07,90.0,180
0.0,1.0,38.0,7.6,29.0,80
0.0,1.0,43.0,3.01,0.0,50
1.0,2.0,12.0,0.26,0.0,250
1.0,1.0,13.0,0.28,188.0,360
1.0,3.0,2.0,0.82,1.0,120
2.0,1.0,9.0,1.01,27.0,41
1.0,1.0,1.0,0.02,0.0,175
1.0,2.0,4.0,0.08,0.0,140
1.0,3.0,25.0,2.48,30.0,199
0.0,3.0,35.0,4.34,127.0,85
1.0,3.0,20.0,0.91,0.0,180
1.0,4.0,5.0,0.44,0.0,160
0.0,1.0,2.0,0.47,139.0,241
1.0,3.0,1.0,0.42,15.0,550
1.0,2.0,5.0,3.19,4.0,172
0.0,1.0,2.0,0.31,171.0,120
0.0,7.0,23.0,0.55,116.0,98
0.0,3.0,2.0,0.11,0.0,80
1.0,5.0,1.0,0.02,0.0,150
0.0,1.0,1.0,1.0,340.0,425
1.0,2.0,57.0,0.67,25.0,250
1.0,1.0,1.0,0.06,0.0,65
1.0,2.0,38.0,1.69,244.0,175
0.0,5.0,2.0,0.04,0.0,100
1.0,1.0,35.0,1.84,141.0,325
1.0,2.0,89.0,4.14,139.0,135
1.0,2.0,43.0,3.6,239.0,155
0.0,3.0,231.0,3.72,177.0,89
1.0,4.0,1.0,0.02,0.0,285
1.0,3.0,7.0,1.11,168.0,300
1.0,3.0,1.0,0.57,1.0,99
1.0,3.0,105.0,2.28,94.0,225
2.0,2.0,1.0,0.13,365.0,25
0.0,1.0,47.0,1.36,151.0,125
1.0,2.0,106.0,2.96,250.0,199
1.0,4.0,17.0,1.1,0.0,130
1.0,1.0,105.0,3.97,306.0,190
2.0,2.0,13.0,0.35,361.0,27
1.0,2.0,9.0,0.23,23.0,189
0.0,7.0,4.0,0.13,0.0,65
0.0,5.0,62.0,1.05,140.0,72
0.0,1.0,29.0,1.81,0.0,39
1.0,4.0,78.0,1.26,65.0,199
2.0,1.0,39.0,5.82,22.0,80
0.0,2.0,14.0,1.71,320.0,79
1.0,5.0,12.0,0.26,0.0,200
0.0,1.0,189.0,3.86,245.0,155
1.0,1.0,43.0,4.69,24.0,180
0.0,1.0,5.0,0.12,0.0,40
1.0,6.0,33.0,0.69,0.0,90
0.0,2.0,150.0,3.32,0.0,200
0.0,2.0,219.0,3.88,35.0,65
1.0,2.0,44.0,5.22,93.0,240
1.0,2.0,5.0,0.68,45.0,135
1.0,5.0,8.0,0.11,0.0,249
1.0,2.0,2.0,0.15,0.0,75
1.0,1.0,5.0,5.0,62.0,85
0.0,1.0,49.0,2.48,77.0,400
1.0,3.0,2.0,2.0,346.0,650
1.0,3.0,122.0,2.14,269.0,145
1.0,1.0,141.0,5.63,90.0,160
0.0,7.0,11.0,0.42,65.0,70
1.0,8.0,6.0,0.07,0.0,99
0.0,2.0,9.0,0.29,332.0,115
1.0,3.0,9.0,0.23,0.0,145
1.0,5.0,5.0,0.06,0.0,150
0.0,2.0,17.0,2.31,142.0,55
0.0,7.0,1.0,0.05,0.0,45
0.0,4.0,219.0,2.54,30.0,90
1.0,2.0,6.0,1.48,325.0,196
0.0,2.0,1.0,0.27,0.0,55
1.0,1.0,5.0,0.08,0.0,70
1.0,2.0,2.0,2.0,55.0,255
0.0,3.0,4.0,0.08,0.0,60
0.0,5.0,7.0,2.28,118.0,95
0.0,1.0,145.0,7.64,4.0,69
1.0,3.0,11.0,0.29,6.0,400
0.0,3.0,3.0,1.67,45.0,140
0.0,2.0,55.0,1.12,342.0,55
1.0,3.0,41.0,2.46,211.0,105
0.0,5.0,2.0,0.05,0.0,80
1.0,3.0,87.0,2.52,322.0,100
1.0,3.0,8.0,3.29,243.0,350
0.0,2.0,14.0,0.44,82.0,65
1.0,2.0,1.0,0.02,0.0,205
0.0,3.0,16.0,1.4,139.0,68
0.0,2.0,106.0,3.26,349.0,35
1.0,1.0,62.0,6.0,77.0,100
1.0,2.0,2.0,1.4,0.0,200
1.0,6.0,3.0,0.16,0.0,170
1.0,5.0,1.0,0.37,363.0,395
0.0,3.0,68.0,1.38,252.0,89
0.0,1.0,14.0,4.57,26.0,40
1.0,2.0,7.0,0.21,0.0,115
0.0,1.0,2.0,0.12,0.0,50
1.0,5.0,44.0,1.22,350.0,100
0.0,2.0,4.0,0.17,0.0,75
0.0,1.0,7.0,1.84,364.0,77
2.0,3.0,3.0,3.0,46.0,30
0.0,4.0,48.0,0.56,96.0,80
0.0,1.0,1.0,0.16,0.0,80
0.0,1.0,8.0,0.26,0.0,90
0.0,2.0,30.0,1.88,331.0,90
0.0,3.0,68.0,1.88,128.0,110
1.0,2.0,14.0,2.98,300.0,76
1.0,2.0,10.0,0.58,6.0,150
0.0,2.0,27.0,0.94,363.0,115
0.0,3.0,28.0,1.76,93.0,50
1.0,2.0,95.0,4.19,117.0,130
1.0,3.0,33.0,0.57,11.0,115
0.0,4.0,36.0,1.36,365.0,65
0.0,2.0,30.0,0.8,3.0,115
1.0,2.0,3.0,0.25,0.0,190
0.0,2.0,13.0,3.42,160.0,80
0.0,1.0,2.0,0.07,0.0,70
1.0,5.0,2.0,2.0,152.0,429
1.0,3.0,2.0,0.05,0.0,279
1.0,2.0,40.0,1.54,285.0,375
1.0,5.0,6.0,0.12,0.0,67
1.0,3.0,6.0,0.18,0.0,115
0.0,10.0,27.0,0.71,125.0,85
1.0,2.0,80.0,4.44,74.0,125
1.0,6.0,1.0,0.02,0.0,230
1.0,5.0,78.0,3.14,281.0,150
0.0,4.0,45.0,1.19,93.0,95
1.0,1.0,141.0,3.05,28.0,170
0.0,2.0,6.0,0.47,88.0,66
0.0,5.0,3.0,1.58,66.0,70
1.0,3.0,5.0,4.41,26.0,348
1.0,2.0,11.0,0.2,0.0,250
1.0,1.0,162.0,5.7,1.0,75
0.0,3.0,1.0,0.02,0.0,80
1.0,6.0,1.0,0.16,258.0,150
0.0,1.0,17.0,0.82,325.0,45
0.0,1.0,2.0,0.06,0.0,95
0.0,1.0,11.0,4.93,97.0,70
1.0,5.0,63.0,1.24,242.0,145
0.0,2.0,5.0,1.24,280.0,375
1.0,3.0,3.0,0.45,0.0,142
0.0,2.0,8.0,1.88,10.0,40
1.0,5.0,5.0,0.27,7.0,125
0.0,5.0,16.0,0.68,15.0,50
1.0,2.0,25.0,0.66,0.0,150
0.0,5.0,395.0,5.16,1.0,91
1.0,1.0,103.0,4.79,7.0,150
0.0,5.0,1.0,0.12,0.0,68
0.0,2.0,8.0,0.23,275.0,80
1.0,1.0,4.0,0.14,0.0,130
0.0,3.0,64.0,1.26,14.0,110
1.0,2.0,13.0,2.36,87.0,80
0.0,5.0,3.0,0.25,4.0,44
0.0,2.0,1.0,0.05,0.0,85
1.0,2.0,19.0,3.88,53.0,90
1.0,3.0,10.0,0.7,365.0,199
0.0,2.0,4.0,0.18,0.0,55
0.0,3.0,2.0,0.17,0.0,35
0.0,1.0,543.0,11.59,163.0,46
0.0,1.0,1.0,0.02,0.0,65
1.0,11.0,3.0,0.41,17.0,200
1.0,2.0,2.0,0.06,310.0,300
0.0,2.0,2.0,2.0,10.0,90
1.0,3.0,3.0,3.0,128.0,400
1.0,1.0,88.0,12.05,253.0,89
1.0,3.0,19.0,0.46,0.0,375
1.0,2.0,1.0,1.0,118.0,299
0.0,2.0,5.0,1.9,183.0,65
1.0,4.0,1.0,0.04,0.0,130
1.0,3.0,7.0,0.46,0.0,196
0.0,2.0,107.0,2.47,46.0,55
1.0,2.0,20.0,3.57,293.0,65
1.0,1.0,7.0,7.0,94.0,135
0.0,1.0,20.0,2.01,315.0,58
1.0,3.0,12.0,1.21,167.0,75
1.0,1.0,6.0,0.39,0.0,70
1.0,5.0,1.0,0.04,0.0,58
1.0,4.0,30.0,0.32,363.0,110
0.0,3.0,6.0,0.13,0.0,55
0.0,1.0,5.0,0.13,2.0,58
0.0,1.0,14.0,0.62,364.0,89
1.0,1.0,3.0,0.08,0.0,268
1.0,5.0,1.0,0.31,45.0,121
0.0,3.0,7.0,0.79,126.0,34
1.0,7.0,4.0,2.67,213.0,150
1.0,3.0,82.0,1.58,255.0,225
1.0,3.0,2.0,0.27,0.0,165
1.0,1.0,8.0,1.88,352.0,349
1.0,2.0,8.0,0.17,359.0,100
0.0,1.0,34.0,7.03,132.0,70
1.0,2.0,28.0,1.36,69.0,99
1.0,4.0,52.0,1.25,1.0,199
0.0,1.0,1.0,1.0,60.0,85
1.0,2.0,14.0,5.6,298.0,120
0.0,1.0,1.0,1.0,358.0,120
0.0,1.0,14.0,3.78,0.0,149
1.0,2.0,113.0,4.04,3.0,39
0.0,1.0,3.0,0.05,0.0,75
1.0,6.0,48.0,4.21,15.0,89
2.0,1.0,8.0,0.26,365.0,99
0.0,1.0,16.0,1.75,0.0,150
0.0,3.0,7.0,0.38,63.0,125
0.0,1.0,2.0,1.58,179.0,60
0.0,3.0,2.0,0.09,0.0,45
1.0,7.0,1.0,0.02,0.0,70
1.0,2.0,154.0,4.38,283.0,99
1.0,2.0,6.0,0.51,0.0,159
1.0,3.0,98.0,2.39,52.0,99
0.0,1.0,83.0,5.48,24.0,59
0.0,7.0,1.0,0.02,0.0,115
0.0,2.0,3.0,0.4,180.0,95
1.0,3.0,1.0,0.02,0.0,180
0.0,2.0,1.0,0.03,0.0,84
0.0,1.0,9.0,0.81,0.0,90
1.0,2.0,38.0,2.0,257.0,225
1.0,1.0,12.0,7.06,283.0,199
1.0,1.0,45.0,1.17,287.0,450
1.0,5.0,38.0,0.75,332.0,229
1.0,2.0,3.0,0.06,0.0,250
1.0,9.0,10.0,0.24,0.0,125
0.0,1.0,61.0,2.66,57.0,55
0.0,2.0,3.0,0.09,0.0,105
0.0,3.0,1.0,0.03,0.0,60
0.0,1.0,8.0,1.67,164.0,49
1.0,3.0,15.0,0.25,0.0,97
1.0,2.0,17.0,2.7,107.0,40
1.0,2.0,6.0,0.13,272.0,230
1.0,2.0,70.0,0.92,339.0,290
1.0,2.0,93.0,3.38,251.0,600
1.0,4.0,20.0,2.32,268.0,210
1.0,5.0,11.0,0.24,0.0,100
0.0,2.0,5.0,1.88,319.0,50
1.0,3.0,40.0,1.05,4.0,150
0.0,2.0,1.0,1.0,59.0,35
0.0,7.0,1.0,0.03,0.0,60
0.0,1.0,30.0,0.84,0.0,90
0.0,5.0,3.0,0.16,0.0,50
1.0,1.0,51.0,4.47,2.0,90
1.0,2.0,28.0,1.32,66.0,200
1.0,3.0,1.0,1.0,357.0,200
0.0,1.0,14.0,0.76,127.0,55
0.0,1.0,73.0,7.99,65.0,200
1.0,3.0,28.0,2.71,333.0,140
1.0,1.0,2.0,0.05,0.0,150
0.0,1.0,1.0,0.02,0.0,35
0.0,1.0,2.0,0.05,0.0,80
0.0,1.0,5.0,0.27,0.0,45
2.0,1.0,47.0,0.81,362.0,110
1.0,3.0,10.0,0.15,0.0,225
0.0,1.0,38.0,0.85,0.0,55
1.0,7.0,43.0,1.36,241.0,198
1.0,2.0,26.0,2.63,173.0,59
0.0,1.0,2.0,0.05,0.0,49
1.0,5.0,14.0,5.06,137.0,420
0.0,2.0,2.0,0.06,0.0,64
1.0,5.0,17.0,2.24,305.0,85
0.0,1.0,192.0,1.84,245.0,64
0.0,2.0,56.0,4.06,365.0,59
0.0,1.0,28.0,0.73,0.0,180
1.0,3.0,6.0,1.59,10.0,150
1.0,2.0,6.0,5.29,231.0,1000
0.0,3.0,7.0,0.53,0.0,109
0.0,3.0,17.0,1.62,59.0,35
0.0,5.0,1.0,0.04,0.0,60
0.0,1.0,2.0,2.0,0.0,65
1.0,4.0,97.0,1.25,48.0,280
1.0,2.0,10.0,1.19,179.0,350
1.0,3.0,125.0,3.32,264.0,150
0.0,4.0,11.0,0.11,365.0,165
0.0,2.0,18.0,5.35,21.0,84
0.0,2.0,17.0,1.68,334.0,40
0.0,4.0,101.0,1.19,170.0,55
0.0,3.0,35.0,0.61,158.0,59
1.0,2.0,4.0,1.09,283.0,220
0.0,2.0,1.0,1.0,65.0,95
0.0,3.0,1.0,0.03,0.0,35
0.0,1.0,13.0,0.87,0.0,90
0.0,4.0,11.0,0.19,0.0,95
0.0,1.0,1.0,0.02,0.0,75
0.0,1.0,3.0,0.07,0.0,60
1.0,1.0,14.0,0.24,336.0,200
0.0,1.0,3.0,2.43,329.0,999
0.0,1.0,67.0,5.19,0.0,70
0.0,5.0,12.0,0.26,14.0,68
0.0,1.0,1.0,1.0,66.0,40
